TOP.5ad9a820.000e1a7e	START
TOP.5b0fe3b0.000a364f	user_options->status_timer	10
TOP.5b0fe3b0.000a364f	user_options->stdout_flag	0
TOP.5b0fe3b0.000a364f	user_options->usage	0
TOP.5b0fe3b0.000a364f	user_options->username	0
TOP.5b0fe3b0.000a364f	user_options->veracrypt_pim	0
TOP.5b0fe3b0.000a364f	user_options->version	0
TOP.5b0fe3b0.000a364f	user_options->workload_profile	2
TOP.5b0fe3b0.000a364f	hashes->hashfile	sam.txt
TOP.5b0fe3b0.000a364f	hashes->hashlist_mode	4
TOP.5b0fe3b0.000a364f	hashes->hashlist_format	1
TOP.5b0fe3b0.000a364f	hashes->hashes_cnt	0
TOP.5b0fe3b0.000a364f	hashes->digests_cnt	8
TOP.5b0fe3b0.000a364f	hashes->digests_done	0
TOP.5b0fe3b0.000a364f	hashes->salts_cnt	1
TOP.5b0fe3b0.000a364f	hashes->salts_done	0
TOP.5b0fe3b0.000a364f	SUB.5b0fe3b1.00020594	START
TOP.5b0fe3b0.000a364f	SUB.5b0fe3b1.00020594	straight_ctx->dict	password.lst
TOP.5b0fe3b0.000a364f	SUB.5b0fe3b1.00020594	rulefile	rules\Incisive-leetspeak.rule
TOP.5b0fe3b0.000a364f	SUB.5b0fe3b1.00020594	runtime_start	1527767985
TOP.5b0fe3b0.000a364f	SUB.5b0fe3b1.00020594	runtime_stop	1527768010
TOP.5b0fe3b0.000a364f	SUB.5b0fe3b1.00020594	status-after-work	5
TOP.5b0fe3b0.000a364f	SUB.5b0fe3b1.00020594	STOP
TOP.5b0fe3b0.000a364f	proc_start	1527767984
TOP.5b0fe3b0.000a364f	proc_stop	1527768015
TOP.5b0fe3b0.000a364f	STOP
TOP.5b0fe59c.000be059	START
TOP.5b0fe59c.000be059	user_options->separator	:
TOP.5b0fe59c.000be059	user_options->encoding_from	utf-8
TOP.5b0fe59c.000be059	user_options->encoding_to	utf-8
TOP.5b0fe59c.000be059	user_options->rp_files[0]	rules\Incisive-leetspeak.rule
TOP.5b0fe59c.000be059	user_options->rule_buf_l	:
TOP.5b0fe59c.000be059	user_options->rule_buf_r	:
TOP.5b0fe59c.000be059	user_options->session	hashcat
TOP.5b0fe59c.000be059	user_options->limit	0
TOP.5b0fe59c.000be059	user_options->skip	0
TOP.5b0fe59c.000be059	user_options->attack_mode	0
TOP.5b0fe59c.000be059	user_options->benchmark	0
TOP.5b0fe59c.000be059	user_options->benchmark_all	0
TOP.5b0fe59c.000be059	user_options->bitmap_max	24
TOP.5b0fe59c.000be059	user_options->bitmap_min	16
TOP.5b0fe59c.000be059	user_options->debug_mode	0
TOP.5b0fe59c.000be059	user_options->example_hashes	0
TOP.5b0fe59c.000be059	user_options->force	0
TOP.5b0fe59c.000be059	user_options->gpu_temp_abort	90
TOP.5b0fe59c.000be059	user_options->gpu_temp_disable	0
TOP.5b0fe59c.000be059	user_options->hash_mode	0
TOP.5b0fe59c.000be059	user_options->hex_charset	0
TOP.5b0fe59c.000be059	user_options->hex_salt	0
TOP.5b0fe59c.000be059	user_options->hex_wordlist	0
TOP.5b0fe59c.000be059	user_options->increment	0
TOP.5b0fe59c.000be059	user_options->increment_max	256
TOP.5b0fe59c.000be059	user_options->increment_min	1
TOP.5b0fe59c.000be059	user_options->keep_guessing	0
TOP.5b0fe59c.000be059	user_options->kernel_accel	0
TOP.5b0fe59c.000be059	user_options->kernel_loops	0
TOP.5b0fe59c.000be059	user_options->keyspace	0
TOP.5b0fe59c.000be059	user_options->left	0
TOP.5b0fe59c.000be059	user_options->logfile_disable	0
TOP.5b0fe59c.000be059	user_options->loopback	0
TOP.5b0fe59c.000be059	user_options->machine_readable	0
TOP.5b0fe59c.000be059	user_options->markov_classic	0
TOP.5b0fe59c.000be059	user_options->markov_disable	0
TOP.5b0fe59c.000be059	user_options->markov_threshold	256
TOP.5b0fe59c.000be059	user_options->nvidia_spin_damp	100
TOP.5b0fe59c.000be059	user_options->opencl_info	0
